customer_id,plan_type,mrr,start_date,end_date,churned,country,acquisition_channel,lifetime_value,tenure_months
CUST_00001,Enterprise,1095.95,2022-01-10,,0,USA,LinkedIn Ads,136993.75,36
CUST_00002,Enterprise,1573.48,2022-07-23,,0,India,Paid Search,196685.0,29
CUST_00003,Enterprise,524.37,2023-11-01,,0,USA,Paid Search,100000.0,14
CUST_00004,Enterprise,2005.54,2023-11-11,,0,India,Partner,250692.5,13
CUST_00005,Enterprise,2991.05,2024-04-16,,0,USA,Partner,373881.25,8
CUST_00006,Starter,96.89,2023-04-19,,0,India,Partner,3229.67,20
CUST_00007,Starter,103.75,2022-05-01,,0,India,Partner,3458.33,32
CUST_00008,Starter,0.0,2022-12-01,2023-02-01,1,UK,Paid Search,1666.67,2
CUST_00009,Growth,359.38,2024-08-20,,0,Germany,LinkedIn Ads,19965.56,4
CUST_00010,Starter,0.0,2023-01-25,2023-05-01,1,Germany,Paid Search,1666.67,3
CUST_00011,Starter,0.0,2022-12-04,2023-02-01,1,USA,Partner,1666.67,1
CUST_00012,Starter,126.95,2024-08-25,,0,USA,Paid Search,4231.67,4
CUST_00013,Starter,0.0,2022-04-05,2024-07-01,1,USA,LinkedIn Ads,1666.67,27
CUST_00014,Enterprise,1939.32,2023-10-11,,0,India,Paid Search,242415.0,14
CUST_00015,Starter,98.08,2022-01-20,,0,Australia,Paid Search,3269.33,35
CUST_00016,Growth,309.48,2022-12-10,,0,USA,Paid Search,17193.33,25
CUST_00017,Growth,0.0,2023-03-27,2024-10-01,1,USA,Partner,11111.11,18
CUST_00018,Enterprise,358.15,2023-01-21,,0,India,Paid Search,100000.0,23
CUST_00019,Enterprise,496.28,2024-11-25,,0,USA,Partner,100000.0,1
CUST_00020,Starter,113.32,2022-01-13,,0,India,Paid Search,3777.33,36
CUST_00021,Starter,0.0,2022-11-17,2023-10-01,1,USA,Paid Search,1666.67,10
CUST_00022,Enterprise,2797.2,2023-02-06,,0,Germany,Organic,349650.0,23
CUST_00023,Growth,349.46,2023-10-14,,0,UK,Organic,19414.44,14
CUST_00024,Starter,79.15,2023-11-24,,0,Australia,Paid Search,2638.33,13
CUST_00025,Growth,0.0,2023-02-25,2024-08-01,1,USA,Paid Search,11111.11,17
CUST_00026,Starter,0.0,2023-10-15,2024-01-01,1,India,Paid Search,1666.67,2
CUST_00027,Starter,126.39,2022-10-16,,0,Germany,Paid Search,4213.0,26
CUST_00028,Starter,162.99,2022-12-03,,0,UK,Paid Search,5433.0,25
CUST_00029,Starter,93.77,2023-01-20,,0,India,Organic,3125.67,23
CUST_00030,Starter,120.68,2023-11-20,,0,Canada,LinkedIn Ads,4022.67,13
CUST_00031,Starter,0.0,2022-10-08,2023-09-01,1,USA,Paid Search,1666.67,10
CUST_00032,Growth,203.13,2024-10-08,,0,USA,Partner,11285.0,2
CUST_00033,Starter,121.59,2022-12-10,,0,India,Organic,4053.0,25
CUST_00034,Starter,178.33,2024-03-06,,0,Germany,Partner,5944.33,10
CUST_00035,Enterprise,0.0,2022-01-20,2023-04-01,1,UK,LinkedIn Ads,100000.0,14
CUST_00036,Starter,0.0,2023-12-25,2024-05-01,1,USA,Paid Search,1666.67,4
CUST_00037,Growth,453.01,2022-04-16,,0,India,Referral,25167.22,33
CUST_00038,Growth,0.0,2022-12-01,2023-05-01,1,Germany,LinkedIn Ads,11111.11,5
CUST_00039,Enterprise,1455.4,2022-01-20,,0,USA,Partner,181925.0,35
CUST_00040,Starter,0.0,2022-01-15,2024-07-01,1,USA,Paid Search,1666.67,29
CUST_00041,Starter,71.85,2024-12-20,,0,India,LinkedIn Ads,2395.0,0
CUST_00042,Starter,121.78,2024-03-23,,0,Australia,Partner,4059.33,9
CUST_00043,Starter,0.0,2024-03-25,2024-11-01,1,USA,LinkedIn Ads,1666.67,7
CUST_00044,Starter,84.6,2022-02-05,,0,USA,Paid Search,2820.0,35
CUST_00045,Starter,0.0,2024-01-26,2024-05-01,1,India,Referral,1666.67,3
CUST_00046,Starter,0.0,2024-01-19,2024-05-01,1,Australia,Organic,1666.67,3
CUST_00047,Growth,379.31,2023-09-15,,0,Germany,LinkedIn Ads,21072.78,15
CUST_00048,Starter,0.0,2023-12-04,2023-12-04,1,Canada,LinkedIn Ads,1666.67,0
CUST_00049,Starter,217.46,2024-02-22,,0,USA,Paid Search,7248.67,10
CUST_00050,Starter,91.58,2024-12-09,,0,Germany,LinkedIn Ads,3052.67,0
CUST_00051,Enterprise,0.0,2023-02-08,2024-07-01,1,UK,Paid Search,100000.0,16
CUST_00052,Growth,381.84,2023-10-04,,0,USA,Partner,21213.33,15
CUST_00053,Starter,139.9,2024-02-05,,0,India,Paid Search,4663.33,11
CUST_00054,Enterprise,0.0,2024-07-20,2024-10-01,1,Germany,Paid Search,100000.0,2
CUST_00055,Growth,426.17,2023-06-27,,0,India,Referral,23676.11,18
CUST_00056,Starter,0.0,2024-02-23,2024-03-01,1,Germany,LinkedIn Ads,1666.67,0
CUST_00057,Growth,382.77,2022-03-04,,0,Germany,Referral,21265.0,34
CUST_00058,Starter,68.69,2024-03-23,,0,USA,Partner,2289.67,9
CUST_00059,Starter,0.0,2022-11-20,2023-05-01,1,India,Paid Search,1666.67,5
CUST_00060,Starter,100.53,2024-11-01,,0,Canada,Paid Search,3351.0,2
CUST_00061,Enterprise,987.58,2023-11-17,,0,Germany,Paid Search,123447.5,13
CUST_00062,Starter,126.04,2023-02-23,,0,Germany,Partner,4201.33,22
CUST_00063,Starter,0.0,2022-02-16,2022-08-01,1,USA,Partner,1666.67,5
CUST_00064,Starter,139.09,2024-06-22,,0,USA,Paid Search,4636.33,6
CUST_00065,Enterprise,1927.03,2024-11-21,,0,USA,LinkedIn Ads,240878.75,1
CUST_00066,Growth,464.47,2024-09-03,,0,Germany,Paid Search,25803.89,3
CUST_00067,Starter,120.32,2024-02-16,,0,Canada,LinkedIn Ads,4010.67,10
CUST_00068,Enterprise,466.47,2023-01-06,,0,Germany,Paid Search,100000.0,24
CUST_00069,Enterprise,2562.97,2024-12-06,,0,UK,LinkedIn Ads,320371.25,0
CUST_00070,Starter,81.29,2024-01-11,,0,USA,Organic,2709.67,11
CUST_00071,Growth,576.54,2023-01-25,,0,India,Paid Search,32030.0,23
CUST_00072,Starter,0.0,2022-08-23,2023-04-01,1,Canada,Partner,1666.67,7
CUST_00073,Starter,64.28,2023-01-10,,0,USA,Partner,2142.67,24
CUST_00074,Starter,338.23,2022-01-01,,0,USA,Paid Search,11274.33,36
CUST_00075,Starter,0.0,2022-12-15,2023-04-01,1,Australia,LinkedIn Ads,1666.67,3
CUST_00076,Enterprise,1322.42,2022-11-15,,0,UK,Paid Search,165302.5,25
