customer_id,month,year,quarter,month_number,month_name,mrr,event_type
CUST_00001,2022-01,2022,Q1,1,January,1936.6,recurring
CUST_00001,2022-02,2022,Q1,2,February,1936.6,recurring
CUST_00001,2022-03,2022,Q1,3,March,1936.6,recurring
CUST_00001,2022-04,2022,Q2,4,April,1936.6,recurring
CUST_00001,2022-05,2022,Q2,5,May,1936.6,recurring
CUST_00001,2022-06,2022,Q2,6,June,1936.6,recurring
CUST_00001,2022-07,2022,Q3,7,July,1936.6,recurring
CUST_00001,2022-08,2022,Q3,8,August,1578.76,contraction
CUST_00001,2022-09,2022,Q3,9,September,1301.09,contraction
CUST_00001,2022-10,2022,Q4,10,October,1301.09,recurring
CUST_00001,2022-11,2022,Q4,11,November,1301.09,recurring
CUST_00001,2022-12,2022,Q4,12,December,1301.09,recurring
CUST_00001,2023-01,2023,Q1,1,January,1301.09,recurring
CUST_00001,2023-02,2023,Q1,2,February,1301.09,recurring
CUST_00001,2023-03,2023,Q1,3,March,1301.09,recurring
CUST_00001,2023-04,2023,Q2,4,April,1301.09,recurring
CUST_00001,2023-05,2023,Q2,5,May,1301.09,recurring
CUST_00001,2023-06,2023,Q2,6,June,1301.09,recurring
CUST_00001,2023-07,2023,Q3,7,July,1301.09,recurring
CUST_00001,2023-08,2023,Q3,8,August,1301.09,recurring
CUST_00001,2023-09,2023,Q3,9,September,1301.09,recurring
CUST_00001,2023-10,2023,Q4,10,October,1301.09,recurring
CUST_00001,2023-11,2023,Q4,11,November,1166.84,contraction
CUST_00001,2023-12,2023,Q4,12,December,1166.84,recurring
CUST_00001,2024-01,2024,Q1,1,January,1166.84,recurring
CUST_00001,2024-02,2024,Q1,2,February,1095.95,contraction
CUST_00001,2024-03,2024,Q1,3,March,1095.95,recurring
CUST_00001,2024-04,2024,Q2,4,April,1095.95,recurring
CUST_00001,2024-05,2024,Q2,5,May,1095.95,recurring
CUST_00001,2024-06,2024,Q2,6,June,1095.95,recurring
CUST_00001,2024-07,2024,Q3,7,July,1095.95,recurring
CUST_00001,2024-08,2024,Q3,8,August,1095.95,recurring
CUST_00001,2024-09,2024,Q3,9,September,1095.95,recurring
CUST_00001,2024-10,2024,Q4,10,October,1095.95,recurring
CUST_00001,2024-11,2024,Q4,11,November,1095.95,recurring
CUST_00001,2024-12,2024,Q4,12,December,1095.95,recurring
CUST_00002,2022-07,2022,Q3,7,July,1924.95,recurring
CUST_00002,2022-08,2022,Q3,8,August,1924.95,recurring
CUST_00002,2022-09,2022,Q3,9,September,1924.95,recurring
CUST_00002,2022-10,2022,Q4,10,October,1924.95,recurring
CUST_00002,2022-11,2022,Q4,11,November,1924.95,recurring
CUST_00002,2022-12,2022,Q4,12,December,1924.95,recurring
CUST_00002,2023-01,2023,Q1,1,January,1924.95,recurring
CUST_00002,2023-02,2023,Q1,2,February,1924.95,recurring
CUST_00002,2023-03,2023,Q1,3,March,1924.95,recurring
CUST_00002,2023-04,2023,Q2,4,April,1924.95,recurring
CUST_00002,2023-05,2023,Q2,5,May,1924.95,recurring
CUST_00002,2023-06,2023,Q2,6,June,1924.95,recurring
CUST_00002,2023-07,2023,Q3,7,July,1924.95,recurring
CUST_00002,2023-08,2023,Q3,8,August,1924.95,recurring
CUST_00002,2023-09,2023,Q3,9,September,1924.95,recurring
CUST_00002,2023-10,2023,Q4,10,October,1924.95,recurring
CUST_00002,2023-11,2023,Q4,11,November,1924.95,recurring
CUST_00002,2023-12,2023,Q4,12,December,1924.95,recurring
CUST_00002,2024-01,2024,Q1,1,January,1924.95,recurring
CUST_00002,2024-02,2024,Q1,2,February,1924.95,recurring
CUST_00002,2024-03,2024,Q1,3,March,1924.95,recurring
CUST_00002,2024-04,2024,Q2,4,April,1924.95,recurring
CUST_00002,2024-05,2024,Q2,5,May,1924.95,recurring
CUST_00002,2024-06,2024,Q2,6,June,1924.95,recurring
CUST_00002,2024-07,2024,Q3,7,July,1924.95,recurring
CUST_00002,2024-08,2024,Q3,8,August,1924.95,recurring
CUST_00002,2024-09,2024,Q3,9,September,1924.95,recurring
CUST_00002,2024-10,2024,Q4,10,October,1573.48,contraction
CUST_00002,2024-11,2024,Q4,11,November,1573.48,recurring
CUST_00002,2024-12,2024,Q4,12,December,1573.48,recurring
CUST_00003,2023-11,2023,Q4,11,November,390.53,recurring
CUST_00003,2023-12,2023,Q4,12,December,390.53,recurring
CUST_00003,2024-01,2024,Q1,1,January,524.37,expansion
CUST_00003,2024-02,2024,Q1,2,February,524.37,recurring
